,Step,Node ID,AE loss,Server model loss,Client fine tuned loss,AE fine tuned loss
0,1,38,40.11741256713867,4.578681468963623,3.0057199001312256,0.5382465124130249
1,2,8,7.601889610290527,11.075410842895508,2.9497625827789307,0.6771253943443298
2,3,31,8.482322692871094,9.21982479095459,2.8942763805389404,1.1671524047851562
3,4,6,2.2695817947387695,2.712357997894287,2.985229730606079,0.5017914175987244
4,5,29,2.838069200515747,4.725010395050049,3.0068752765655518,0.42316949367523193
5,6,15,4.388911724090576,27.3330078125,2.9391164779663086,2.5858678817749023
6,7,15,3.5058257579803467,27.918020248413086,3.0080084800720215,2.301582098007202
7,8,7,1.0102328062057495,7.481968402862549,3.054290533065796,1.1730772256851196
8,9,36,1.9717062711715698,155.78363037109375,7.265122890472412,1.2705193758010864
9,10,37,32.82292175292969,15.956832885742188,2.0758187770843506,33.7440071105957
10,11,6,21.96662139892578,21.254945755004883,2.978698968887329,1.0282939672470093
11,12,17,17.39205551147461,29.116317749023438,2.9046926498413086,0.6665763258934021
12,13,32,10.418478965759277,14.943787574768066,3.0391454696655273,0.6080637574195862
13,14,2,2.6064257621765137,10.993414878845215,2.923288106918335,0.7716767191886902
14,15,10,7.204759120941162,12.870647430419922,2.331021785736084,0.8474922180175781
15,16,17,31.070066452026367,9.533076286315918,2.661417245864868,0.7756156325340271
16,17,1,6.164040565490723,88.95255279541016,3.7815539836883545,1.7542614936828613
17,18,25,2.1357431411743164,3.1370418071746826,2.7605478763580322,0.9643807411193848
18,19,51,11.754412651062012,5.310418128967285,2.937298536300659,1.560575008392334
19,20,11,13.872699737548828,3.2205140590667725,2.883223056793213,1.0433412790298462
20,21,30,3.3589935302734375,39.64126968383789,2.8330020904541016,3.4277608394622803
21,22,17,2.8286378383636475,32.68197250366211,2.195625066757202,0.6079315543174744
22,23,48,0.9936754107475281,222.89271545410156,8.09431266784668,2.2350270748138428
23,24,2,3.759453058242798,54.13996124267578,2.673884153366089,0.865874707698822
24,25,15,22.141204833984375,2.998589038848877,2.764918565750122,1.3573811054229736
25,26,47,14.024539947509766,69.05560302734375,2.9988064765930176,1.7581018209457397
26,27,34,25.06592559814453,17.78678321838379,2.788128137588501,26.78498649597168
27,28,20,27.720298767089844,18.941946029663086,2.970299005508423,9.985621452331543
28,29,37,4.75412130355835,6.890460014343262,2.9290847778320312,1.192762851715088
29,30,36,3.100748300552368,3.9047210216522217,2.9774296283721924,1.325742483139038
30,31,17,30.762210845947266,11.724186897277832,2.9740707874298096,0.5702349543571472
31,32,39,36.17917251586914,16.33156394958496,2.9166781902313232,1.493699312210083
32,33,11,4.342018127441406,53.10734558105469,2.897136926651001,0.5583001971244812
33,34,28,1.9073361158370972,48.197792053222656,4.378007411956787,2.041246175765991
34,35,41,1.8926331996917725,46.4318733215332,2.9627063274383545,1.0326032638549805
35,36,23,11.12195110321045,216.37074279785156,12.90996265411377,2.00130295753479
36,37,33,1.847028374671936,535.7266845703125,21.092601776123047,1.678003191947937
37,38,3,2.577401638031006,490.890380859375,92.30133056640625,2.490954875946045
38,39,56,3.0605931282043457,150.0332794189453,12.447322845458984,1.4030715227127075
39,40,8,37.057559967041016,28.29668426513672,2.8387696743011475,1.2289756536483765
40,41,25,2.5078961849212646,10.221116065979004,2.841758966445923,0.5846546292304993
41,42,44,11.647059440612793,12.235526084899902,2.9416451454162598,0.8968202471733093
42,43,4,21.63671875,153.7744903564453,3.376213312149048,2.363365650177002
43,44,23,2.3160083293914795,52.89112091064453,2.962585210800171,0.8507675528526306
44,45,26,32.925323486328125,9.321321487426758,2.962000846862793,1.5330419540405273
45,46,57,2.8231735229492188,14.180556297302246,2.2323732376098633,1.1803274154663086
46,47,0,36.78710174560547,2.021862745285034,2.2161355018615723,1.8801038265228271
