,Step,Node ID,AE loss,Server model loss,Client fine tuned loss,AE fine tuned loss,Server f1,User f1
0,1,3,1.0208069853757689,1.5698016342414958,0.10003314582915969,0.686719865768437,0.21843696360813633,0.96635741428991
1,2,31,0.9836380859580285,5.940675906638716,0.20072291724467545,0.6348553883260979,0.29180434920582793,0.9253861748867038
2,3,29,0.972042789546028,5.773161405965432,0.4355634078864693,0.7510340636573115,0.10122212876925167,0.8216986032593493
3,4,4,0.9378962420147552,4.371729407790145,0.12169338865922047,0.5913958813311786,0.3229062583639705,0.9606906332395353
4,5,11,0.9153104486998979,3.2580864568412444,0.1599035013319451,0.617107580174933,0.2391967140134646,0.9214331900208655
5,6,28,0.9019843930289859,2.3378404798961823,0.22527011519386655,0.5987316909290495,0.47284496957394206,0.9039731683204203
6,7,26,0.8510207448686872,3.1008380821772983,0.0647602447441646,0.6442214449246725,0.49434844741396955,0.9865982598250992
7,8,14,0.7990305938975283,3.752570755265756,0.2799291484500379,0.6584776370340861,0.29122198244076347,0.9037254610845047
8,9,29,0.7518782396212929,3.753955038729235,0.29733474334757676,0.6519868427070532,0.4612449335541997,0.8857012368171568
9,10,23,0.7745773761682538,3.85346217336182,0.3197599807216544,0.6767470866181065,0.3803000616766781,0.8998326500730195
10,11,27,0.7864088502565264,3.7361584769984915,0.51994332972378,0.7151811274563656,0.2242272102275189,0.7797004287935974
11,12,17,0.7526834562560109,3.5629179254870547,0.35149384993259036,0.6090763317090329,0.5114425847292995,0.8560230575261045
12,13,2,0.7971038683881211,2.531233890636547,0.5164032481111734,0.6113989105235816,0.28760221362459,0.8015483012841631
13,14,18,0.6898857656466002,4.83100664293633,0.2654209987282823,0.5538921185752188,0.45106098002329514,0.888771422233162
14,15,7,0.6942569823415744,6.349246614923806,0.03359892320666068,0.4928226111889443,0.10239748430981498,0.9945880469059276
15,16,14,0.6291652361504246,6.391983080854227,0.36068573284807076,0.5994554710516904,0.23406674394951893,0.8647035614890595
16,17,18,0.6210887575947531,41.614012628776216,0.16884599535064843,0.5179259651419841,0.627264349217956,0.9337279113419993
17,18,24,0.6139541522661844,4.941472860972087,0.06834282777074611,0.554154629129352,0.20715362939132792,0.9780549275962139
18,19,33,0.6394590343216575,6.59612984429955,0.20686531858875024,0.4960008371465693,0.15117746378043107,0.9615327592776879
19,20,1,0.6611668923571441,5.050847001488664,0.16560164725016868,0.5978218915906524,0.3680150624019266,0.9346182167589709
20,21,28,0.5771747946739196,3.247848837716239,0.2851489583651225,0.4515832804498218,0.20707292085741866,0.904129752157601
21,22,11,0.6906279497769051,2.366032627634791,0.12498283141351246,0.5872504972355627,0.5659609681036114,0.9676290864813024
22,23,29,0.6037193988255732,2.0857176866100176,0.7638467357953856,0.5304113258282297,0.2457843517793797,0.9190575182346975
23,24,0,0.6265206686528184,48.61043572964161,0.13194566693287554,0.4703864273363398,0.3351152894364111,0.9565324494219537
24,25,4,0.5399392767065375,1.991524568253015,0.05618269441307649,0.5065543061177407,0.5769081750853183,0.986234984235513
25,26,13,0.7261142367305178,68.21851573134913,0.4744224952206467,0.6117755124063203,0.16037688631448793,0.8066176424576735
26,27,14,0.5968817830193022,2.941624557178179,0.2950077204197985,0.5286699484477303,0.3106176835570966,0.9089498506355356
27,28,33,0.5883160224727072,2.9964284867381545,0.17861695686742235,0.4984505800305569,0.2872515044819516,0.9553932107359489
28,29,26,0.5369832203501747,2.047279028665452,0.06958439233047621,0.4806903918584188,0.5913970083586103,0.9900443773781862
29,30,3,0.614392310849035,4.240505841806089,0.0665381368663576,0.48243351744454294,0.25665963973233313,0.987926868634512
30,31,17,0.5671645157805113,2.992972333854604,0.1691921846331837,0.5941078111390087,0.5005382787746206,0.9529892022031833
31,32,14,0.546380547291516,2.2316734551954354,0.17456273848093692,0.4865105794837679,0.6039037328894079,0.9387069903830719
32,33,7,0.6058067166888972,3.784523697468605,0.08006827556787004,0.48258583576376496,0.22300863437952037,0.9856705658222393
33,34,17,0.5289289856625494,3.5609758880650886,0.13203690277638835,0.5290483514839244,0.27308795910641415,0.9635536739485192
34,35,10,0.57205865047784,3.149726519347928,0.27938514895050237,0.5541926243344661,0.24911593012195327,0.9168346160744094
35,36,24,0.48924057667905635,1.6182665684728912,0.07246038964300444,0.4606853970975587,0.6015593696129252,0.9850383661270162
36,37,12,0.5964436077235038,5.463845879292627,0.39141196239064313,0.4885027497483973,0.19821236243866125,0.8550218616319094
37,38,2,0.5818054988437478,3.1587535889532536,0.33699044019649227,0.54749408171684,0.2879313546882363,0.879271366755044
38,39,18,0.4993421173207703,1.9620201167679505,0.2725317937727193,0.5083846886299389,0.3987435246068469,0.8900144435632672
