,Step,Node ID,AE loss,Server model loss,Client fine tuned loss,AE fine tuned loss,Server f1,User f1
0,1,0,1.0127392063834244,1.4359793986978633,0.07675879479733355,0.8066601223968352,0.19423655383798466,0.9741376505695001
1,2,2,0.9134800990843801,5.433123590808594,0.38689576691396105,0.6682800205141411,0.28373786096794673,0.8601173561054947
2,3,0,0.7030951184652418,2.899960914584536,0.0584550102832988,0.48736673657459356,0.26436634091898165,0.983773073673028
3,4,1,0.9576115566533763,3.1287451996392024,0.3405562843476142,0.6626304579781486,0.5607359052837436,0.8487932241391221
4,5,1,0.8748597772249253,0.33515184186833163,0.12676201580148755,0.5984690124060447,0.8630848028911078,0.9558970347743773
5,6,0,0.6290669353840889,2.0943978196531714,0.07362005527489802,0.44512761065445583,0.5918184075616951,0.9809458545358168
6,7,0,0.5571638511247373,0.07195634735000006,0.03195997190809364,0.4166939434050377,0.9824081820589675,0.988648921155165
7,8,0,0.49871188853295684,0.031645293304246,0.012218535786186022,0.39372112860412506,0.9880852926304965,0.9971705908734295
8,9,1,0.6203184090294205,5.039243818163039,0.2706726651577961,0.45318055194574636,0.6029015496318756,0.8962211593383304
9,10,1,0.580289390120473,0.2905478471225792,0.12925934927030044,0.4199269910653432,0.8945273882308391,0.9522890037121718
