,Step,Node ID,AE loss,Server model loss,Client fine tuned loss,AE fine tuned loss,Server f1,User f1
0,1,0,1.0152668562298346,2.447319850357088,1.7113728062042979,0.8951340966698483,0.015218249642921077,0.5907877361922357
1,2,0,0.8389822182897282,1.9928502245130801,1.44825672775696,0.6420356619937727,0.2987597009138273,0.6302110454440544
2,3,0,0.7126112655907806,1.4889003144258173,1.1705802709305262,0.570226618653876,0.5904256784866466,0.6996291506202441
3,4,0,0.7153635545462433,1.1811231770424713,0.9904943734848474,0.5822118096069352,0.5257532983753543,0.7461700886545941
4,5,0,0.67578423338259,1.0732807735056,0.8150662486195313,0.5830665055591511,0.6597877835081183,0.7209096541111011
5,6,0,0.6426657324865555,1.012355478697045,0.7531944381006173,0.5649594965747244,0.658395179004152,0.7332837898408201
6,7,0,0.6056956616062946,0.9314661124291934,0.6587032976916678,0.5421783064686975,0.5963300670189522,0.8072294709120028
7,8,0,0.5865946137375861,0.8859019479842317,0.5626450598113885,0.5373467426219399,0.6882023594722754,0.8339621638250606
8,9,0,0.5583377430101277,0.6851224874089182,0.5134535973722284,0.5287567044413367,0.7661683738861602,0.8528129827275212
9,10,0,0.5351633580744141,0.729985383423892,0.4649972953453628,0.5129646209027248,0.7749260151831108,0.8515505005210645
