,Step,Node ID,AE loss,Server model loss,Client fine tuned loss,AE fine tuned loss,Server f1,User f1
0,1,15,1.0154666188729173,1.441749238856224,0.07875760616756435,0.825429517016757,0.14140390823771537,0.9743446950692142
1,2,33,0.933590239043348,4.196907513447016,0.30752693288700117,0.7625933288500817,0.19705414101240631,0.8968464814784599
2,3,4,0.8792330041483531,3.693081040764421,0.09300502219433601,0.6171707330188695,0.3168994388293023,0.9691887640913663
3,4,19,0.8463724682816361,1.739845921226659,0.059106571029509065,0.5431467469814605,0.45441969496749357,0.9850708023912411
4,5,23,0.8063337867228869,1.9602199166412173,0.18635685004797695,0.6233598384851521,0.47415682990653457,0.9327547580778024
5,6,15,0.6426255809758251,2.5752038268908963,0.1505570947181704,0.49462885292687514,0.5741154135596159,0.9493636714430015
6,7,9,0.6134777977487808,2.143648226961538,0.23734048599659158,0.4942501683617204,0.5184562091205829,0.9078006896173417
7,8,5,0.6130989709828029,2.3043844088566297,0.24461231821708065,0.5182164613155295,0.29273538504347535,0.9043396500570133
8,9,25,0.6187986124236629,1.5998432478814755,0.14545092450560265,0.49877418830709636,0.5166774620376557,0.9468865316670795
9,10,30,0.5461489349179923,0.8760909277115952,0.09802564339473914,0.4288214594831964,0.6624531448521063,0.9638387672531615
10,11,16,0.5854909702443432,3.1756173792059177,0.16268148303452412,0.43322380427610585,0.2650506028521667,0.94281386154857
11,12,49,0.5095597928454753,1.3692446399708182,0.22516928064007433,0.40609170090393715,0.7322836988373681,0.9184683047444375
12,13,38,0.5359229574577591,3.184853256167517,0.09690108392780224,0.4483280232834872,0.5402393295597337,0.9653152630524374
13,14,35,0.6317426221809962,4.683520578978927,0.29861753015225345,0.457462258231184,0.2141108292641218,0.8952997513845942
14,15,47,0.46993935342947546,1.527279141790811,0.047741514948150224,0.3731997916838955,0.6467259574045865,0.9890628364706825
15,16,24,0.46365014301886665,0.8330822686295223,0.029387789814423266,0.36123382688845146,0.7531368583521464,0.9943472590588615
16,17,11,0.43913257807633127,3.9792805490359453,0.023370915560375356,0.3632779409627959,0.1325556913673904,0.9964759834746577
17,18,36,0.5526701338185466,2.958496912359604,0.24753698860776835,0.4412338833503535,0.3109446320671964,0.91139943537971
18,19,50,0.4453109053437581,0.5578006826831909,0.06714978913168708,0.3711716378877263,0.8131043294405587,0.9798399947498769
19,20,31,0.49787982865487884,1.217343185028524,0.06791851969869729,0.4349674167510102,0.7474785749580222,0.9814674463066888
20,21,49,0.4035903750633707,5.477974081669106,0.16975774911275895,0.33955492519316266,0.3497109491389922,0.9367136316289114
21,22,5,0.45987598405644553,1.982774086753078,0.11036767756509894,0.4066661370254428,0.5919074269042293,0.9582174560154689
22,23,33,0.4566884207218834,1.905358142855522,0.10184226990054217,0.37519931983221955,0.4084188872156744,0.97366856624196
23,24,2,0.42970295950717724,1.6303958977069113,0.19261912141078633,0.37994714999227,0.6735162179712871,0.9257960391969856
24,25,6,0.47007431990898735,2.1709054645226926,0.2286704043083914,0.4147710739871156,0.4376373465753066,0.9220117230622258
25,26,23,0.43087054525688734,0.9763039825649872,0.08323462049378477,0.3853858352273102,0.7219184492834623,0.9709986429000474
26,27,14,0.38074507037545463,1.196823121290643,0.09158996993931443,0.340200766222147,0.7086639829485654,0.9806256836452972
27,28,8,0.38810937343356766,1.456137669420688,0.022589061069780977,0.32888336187211153,0.5207959798357403,0.9963558589221394
28,29,26,0.4639669654284709,6.548301377663246,0.04696661522667084,0.422711224492485,0.5650836629325053,0.9821271047149166
29,30,22,0.3926854761824384,1.1084468415222124,0.10305277308750761,0.34042646280569316,0.7077536700591289,0.9702337153033873
30,31,24,0.3609259429962276,0.6718093245813777,0.03218462487936445,0.30392454930673674,0.8165104249288191,0.9906391115366535
31,32,19,0.33607468188336465,0.14045343692675452,0.011705249829278232,0.3163953847238096,0.9511034539243299,0.9967570386093056
32,33,28,0.3616614717231143,1.2558263258297493,0.023539758906797867,0.3398928133469834,0.7046531442544669,0.9950173787870248
33,34,31,0.4149124851294644,2.2847854426858265,0.05309728185232744,0.38516069919524565,0.3492576566525979,0.985918777396213
34,35,27,0.32344457949706895,0.8084537409379811,0.052815797703039506,0.29384044540856413,0.7864947772890664,0.9856355135068776
35,36,16,0.35766635256119156,58.12737341784926,0.16940347887115714,0.3261192329556433,0.23783488552609625,0.9341584778839072
36,37,11,0.3337792284052137,2.7306325995306455,0.01253641821102987,0.3248988066760587,0.577203372072667,0.9980935234878475
37,38,22,0.3501835664862889,2.8986944468714646,0.11177669780775343,0.31529793044680854,0.49460130810268615,0.9635415977135962
38,39,28,0.3386277276542762,1.1865064254689273,0.022847861528671423,0.32877799282308484,0.6834424554584244,0.9957514207457144
39,40,4,0.3232358511548368,0.5148555694065038,0.020293550507803876,0.30875816408887463,0.8319920848826781,0.9930188831450505
40,41,9,0.3392261100628963,2.5931159823160144,0.09006657726421555,0.30963288432412756,0.36059415011686535,0.9662876303812908
41,42,35,0.3870199444603395,2.576467781464719,0.19476741687033158,0.3449578291433297,0.41066797322493964,0.9373211812471477
42,43,20,0.35666749467557674,1.2222633269144874,0.12462471371123872,0.3383175517279914,0.6816408802727614,0.9614757016463381
43,44,7,0.3479176516618802,2.537369054798818,0.07088444039568842,0.312808668814111,0.48168067501396034,0.9737657407774938
44,45,37,0.3500318826631058,1.6876896996830786,0.08035820677529934,0.3191633394984312,0.6477511748136934,0.9779088955216274
45,46,8,0.313933646567514,0.5711108306858027,0.00950837732405863,0.28330791219372614,0.8220673281467564,0.997079055144216
46,47,53,0.3693053340995228,1.6538492241105833,0.09271984187873093,0.33415361738705135,0.6016968718391029,0.973594805854201
47,48,9,0.3157999977336793,0.9295140852914012,0.1085125075072846,0.29981401714797545,0.7645063890201831,0.9559812727819931
48,49,38,0.3522064696290733,0.4386392364876053,0.023361264441742517,0.3236553807169269,0.8347024807632292,0.9932760940872889
49,50,20,0.33430938031283086,1.0155955462489448,0.11050115465170082,0.3161835473544185,0.7747569047926415,0.9598435327110423
50,51,7,0.3319371579950967,2.6066660251549836,0.020259620750524274,0.3063587800891739,0.48549637254448536,0.9957059157680554
51,52,39,0.3240277917162333,3.2624576537303147,0.04844514178943786,0.30939071700814064,0.691579177231793,0.9831294443059463
52,53,9,0.305478226077309,0.785362700804051,0.0488144385598003,0.2974438043836316,0.8141804794799828,0.9818655646183428
53,54,4,0.29737680508404174,1.8180706987041395,0.02935532391933553,0.3067241915609433,0.6495525272862779,0.993016408224178
54,55,49,0.2939852681659421,5.337740730981723,0.1704915965072104,0.2840696744093088,0.25692467309807193,0.9400360099156649
55,56,11,0.2880425775694735,0.637566819717067,0.0072386116314102225,0.29473139534533865,0.8380257311243673,0.9992660542316396
56,57,22,0.31422604261548864,3.2791957827549787,0.1062044448895435,0.29466661551423495,0.4123787233428458,0.9711224573265612
57,58,38,0.3276094239405782,0.2755368987765748,0.02531831191887586,0.30948419900353674,0.9198496721342787,0.9916420376450115
58,59,14,0.30201684645165167,1.8647127914925703,0.10597982399540963,0.28313236001536,0.6430288524924791,0.968307134100695
59,60,37,0.3309774377318316,0.8939761098041091,0.0450257440032654,0.30620478460955064,0.6188699953013488,0.988966563052181
60,61,49,0.27897174792344115,1.500320196008625,0.09622509028015733,0.27961645929180845,0.3893380737594095,0.9693564489430674
61,62,47,0.2882993742778799,1.9499792640494498,0.036954039520731334,0.2828071766493196,0.5714872445486189,0.9902373075795685
62,63,17,0.3709707855811937,2.3311628079077327,0.15942464277981686,0.3310940886064036,0.3964181073556428,0.945381996831742
63,64,33,0.3114174013761595,1.5143650605170498,0.06769877888737294,0.2931393918670641,0.7868723806071809,0.983598682331872
64,65,45,0.3322562251802574,1.0227325662846514,0.02599827909241923,0.32368878245920685,0.6335856618945677,0.9959929473135104
65,66,43,0.29700635676890347,0.6454075744018443,0.027282681995261033,0.28050157612403936,0.821882115535929,0.9915962828843821
66,67,31,0.3608531848205641,1.2381416213674947,0.09661767785020602,0.3434124487387618,0.7016829600342672,0.9671659532299793
67,68,34,0.3107823238653295,0.7558003457153545,0.02404115725253873,0.3064971764648662,0.6654762547956653,0.9933905665652286
68,69,41,0.2813122892117373,4.132751916151257,0.06141575041588824,0.26400295077229735,0.27984779792935394,0.9816983533461207
69,70,26,0.37906127529736805,2.6007964848061285,0.04050259016145616,0.36223044219101674,0.5995312966940132,0.9934988834408092
70,71,19,0.2862148287901133,0.27367240843695523,0.012210189722269598,0.28022674879493265,0.907106559549269,0.9969017617661247
71,72,5,0.3545345887940672,0.6704579137536049,0.04293472885837305,0.32752453449366703,0.8699943627971385,0.9882655150804026
72,73,29,0.3268547699731939,2.5219256445940803,0.040506137132315954,0.2924685104103649,0.5110010387012721,0.99030010609965
73,74,48,0.32186438108475035,3.351968336362171,0.17044225691821602,0.2886965153889339,0.5203714241136251,0.9392920059552734
74,75,49,0.2829213990670006,5.393676394889621,0.2518363894463158,0.27167633490688375,0.26660305261033496,0.9064657254237686
75,76,23,0.3338871603900145,1.5595435324088534,0.0562304817272675,0.31028965225140537,0.6520850637151722,0.9834810881877075
76,77,37,0.32361395594685577,0.5949624494064686,0.05975330104661542,0.2966249398713888,0.8949922955663502,0.9856458235654146
77,78,28,0.3026309170404698,3.108624904998851,0.05009653977613539,0.3026547501740467,0.2921581910407429,0.9895800115360216
78,79,33,0.31337815791899143,1.420945745237527,0.05690782765618759,0.2849483798797756,0.6119496988455098,0.9859038699787102
79,80,43,0.28729376789391214,0.5475334944626574,0.029821787231703423,0.2688660311575836,0.8347046686379779,0.9924842265582745
80,81,15,0.3376453848996263,2.9909955762867626,0.19394696591120972,0.3328843484578144,0.4757424125997187,0.9276196712117177
81,82,22,0.30389332842218,1.2231263377537784,0.07714026095480747,0.2824766391318549,0.6854187984695299,0.974019758787641
82,83,53,0.3213780347283903,3.606460580736885,0.1580770680190244,0.3034907742674812,0.465091805833402,0.9627715522939193
83,84,30,0.3023911444779256,0.3386214468716445,0.00878641076531632,0.2972816004289835,0.8946616918610306,0.9974834129368757
84,85,11,0.277325366304514,4.384565024308755,0.029754979662737095,0.2773644707292458,0.15078567298403686,0.9907511418181469
85,86,1,0.29134201871487364,2.1629483349673397,0.11255459299002772,0.2890108084623074,0.5409344271122398,0.9644676922483262
86,87,48,0.3017731945825722,7.06196819615892,0.24038779917148007,0.28517497978761197,0.23007051329814035,0.9191257538208621
87,88,26,0.3635010787015836,1.3196074742537278,0.034130335250902456,0.35844113428211777,0.6619816023901864,0.9880042146713318
88,89,49,0.26932251367534626,6.599499442568775,0.11496144970532368,0.25765736880494194,0.34538555887572664,0.9629986612771365
89,90,52,0.3158487130517829,1.544858573376245,0.17030534961390098,0.3065989044111637,0.6880389914776808,0.9388130960486551
90,91,11,0.2749835122639025,1.1610278629920852,0.019822548690116463,0.27229512927118044,0.6098900460139521,0.9964774718989176
91,92,32,0.26925755952889063,2.226087601679676,0.05297503492109618,0.24271530756410561,0.5340250440993384,0.9843785856536409
92,93,3,0.3277890275386907,1.621053686863697,0.1772714728636937,0.3044530381569623,0.6419745999103448,0.9347131194415739
93,94,8,0.2920954017160095,2.8829260786003044,0.037687856373246585,0.26803566571150983,0.3725257999294619,0.9933160538600226
94,95,14,0.2743232128553882,0.48246180160444596,0.11610117581412498,0.26941900001002933,0.8436349792048532,0.9602782471501388
95,96,36,0.2905490941602021,1.5630713988994729,0.17015018493964754,0.27763145185750104,0.5897267335908093,0.9436708004938633
96,97,21,0.3088016933903975,0.8823511291952694,0.07882360676248722,0.2984884905113893,0.7468369286423946,0.9770937294016356
97,98,11,0.27445979283449234,4.245530887388847,0.0358619544777512,0.2758301141116541,0.2362946477987767,0.9892597615661332
98,99,1,0.28922408982451425,1.7780101190913806,0.096468928984273,0.2844125284598424,0.6716182584865442,0.9754243919400194
